example_id,is_challenging,challenging_types,article_excerpt,summary_A,summary_B,annotator_name,faithfulness_A,faithfulness_B,coverage_A,coverage_B,fluency_A,fluency_B,overall_preference,notes
ex_011,no,,"This is the moment a thief fled the scene after stealing the sat nav from a 73-year-old injured pensioner's crashed car as she waited for an ambulance. The 73-year-old woman suffered severe bruising to her legs and ribs after her blue Vauxhall Corsa collided with railings on the petrol forecourt of the Asda store in Hulme, Manchester. She was waiting from an ambulance with her husband, who has dementia, when the thief sneaked into her car and stole the black Garmin device from underneath the passenger seat. A member of the public took a photograph of the suspect as he left the scene and walked across the grass with his dog at around 12pm last Thursday. A man wearing purple […]","The 73-year-old woman suffered severe bruising to her legs and ribs. Her blue Vauxhall Corsa collided with railings on the petrol forecourt of the Asda store in Hulme, Manchester. She was waiting from an ambulance with her husband, who has dementia, when the thief sneaked into her car and stole the black Garmin device. A member of the public took a photograph of the suspect as he left the scene.","A thief stole a sat nav from a 73-year-old woman's crashed car while she waited for an ambulance after colliding with railings in Hulme, Manchester. The woman, who suffered severe bruising, was with her husband, who has dementia, when the thief took the device from under the passenger seat. A member of the public photographed the suspect, described as a man aged 30-40 with a beard and wearing purple shorts, leaving the scene with his dog. Greater Manchester Police have issued the photograph and are appealing for anyone who recognizes the man to come forward. The victim described the thief as ""the lowest of the low"" in her statement.",,,,,,,,,
ex_012,no,,"Two armed robbers have been caught on camera using a sledgehammer and an axe to try and smash their way into a jewellery shop. The raiders were foiled by a brave employee who barricaded the door to the premises, and they proceeded to flee on a motorbike. A passer-by captured photographs of the two criminals, and police have now appealed for the public to help them identify the offenders. Raid: One of two robbers who used a sledgehammer and an axe to try and break in to a jewellery shop . The attempted break-in took place in Pemberton, a suburb of Wigan in Greater Manchester, on Saturday afternoon. One of the raiders used a sledgehammer to smash through an internal […]","Two armed robbers attempted to break into a jewellery shop in Pemberton, Wigan, using a sledgehammer and an axe, but were thwarted by a brave employee who barricaded the door. The raiders fled on a motorbike after being pushed back through a broken window, threatening a passer-by with the axe. Greater Manchester Police are investigating potential links to a similar break-in last week and have appealed for public assistance in identifying the offenders, commending the shop worker's bravery and a bystander who captured photos of the criminals. Anyone with information is urged to contact police or Crimestoppers.","The attempted break-in took place in Pemberton, a suburb of Wigan in Greater Manchester. One of the robbers used a sledgehammer to smash through an internal wooden door. The other used a axe to smash security glass at Uncle Jewellers and Pawn Brokers. When a worker barricaded the door and pushed one of them back through the broken window they fled the scene.",,,,,,,,,
ex_013,no,,"A hero pilot pulled his plane out of a terrifying North Sea nosedive with just seven seconds to spare. The plane began to plunge after it was struck by lightning, but autopilot ignored the pilot’s commands to climb and tried to crash the plane into the sea. The airliner pitched down, falling at 9,500ft a minute, and fell to just 1,100ft above the ocean before its commander wrestled back control just moments before it was about to crash into the icy water. The Loganair flight was just seconds from crashing into the north sea before its commander saved the day . The 42-year-old pilot put out a Mayday emergency signal before regaining control and saving his 30 passengers and three […]",Loganair flight from Aberdeen to Shetland was struck by lightning. autopilot ignored pilot's commands to climb and tried to crash the plane into the sea. Pilot wrestled back control just moments before it was about to crash into the icy water. The aircraft landed safely in Aberdeen with only minor damage and no injuries.,"A Loganair flight from Aberdeen to Shetland narrowly avoided crashing into the North Sea after being struck by lightning, which caused the autopilot to malfunction and send the plane into a nosedive. The pilot regained control just 1,100ft above the ocean, saving 30 passengers and three crew members. The incident occurred on December 15 during severe weather conditions, and the plane landed safely in Aberdeen with minor damage. An investigation by the AAIB found no technical faults with the aircraft, attributing the dive to the autopilot system countering the pilot's actions, and pilot training now includes simulations of the event.",,,,,,,,,
ex_014,no,,"This extraordinary video - captured when a skydiver dropped his GoPro camera at 10,000ft - shows what it is like to freefall to the ground. The clip shows the very moment the helmet camera becomes detached and makes its dizzying descent back to earth. After what begins as a routine skydive - with two of the jumpers linking hands in mid-air as two companions circle them - the camera slips from helmet and makes its stomach-churning plunge to the ground. It spins quickly to the ground for a minute and a half before crashing into a field. Remarkably, the camera remains intact despite falling from the great height. The video was taken of a routine skydive in Everöd, Sweden and […]","The video was taken of a routine skydive in Everöd, Sweden and recorded on the helmet of one of the divers. The camera slips from helmet and makes its stomach-churning plunge to the ground. Remarkably, the camera remains intact despite falling from the great height.","A GoPro camera detached from a skydiver's helmet at 10,000 feet during a routine skydive in Everöd, Sweden, capturing its dizzying freefall to the ground. The camera spun uncontrollably for one and a half minutes before crashing into a field in Gringelstad, remarkably remaining intact. The footage, believed to be four years old, was found by Kristoffer Örstadius's father, who uploaded it to YouTube, leading to the owner's identification. The video has since amassed over 250,000 views, showcasing the camera's dramatic descent and survival.",,,,,,,,,
ex_015,no,,"Elephants are often seeing travelling single file, using their trunk to hold onto another mammal’s tail in front of them. But one young elephant decided to go it alone, when it walked alongside its herd and even broke their chain. Captured at Whipsnade Zoo, the video shows keepers assisting six elephants along a path – five of which walk in single file. The baby elephant can be seen walking alongside its herd, which travel in a single file line . As the first three elephants move from the shot, the fourth – a smaller elephant – is flanked by a baby. It stops to dawdle as it reaches the grass and uses its trunk to pick something up off the […]","A video captured at Whipsnade Zoo shows a young elephant breaking the single-file chain of its herd by walking alongside and then forcing its way back into the line. The baby elephant dawdles, picks something up with its trunk, and disrupts the tail-to-trunk connection between the last two elephants. The filmmaker described the scene as unexpected and amusing, highlighting the cheeky behavior of the young elephant. Whipsnade Zoo, located in Bedfordshire, is known for its large land area and diverse animal population.","Elephants are often seen travelling single file, using their trunk to hold onto another mammal’s tail in front of them. But one young elephant decided to go it alone, when it walked alongside its herd and even broke their chain. Captured at Whipsnade Zoo, the video shows keepers assisting six elephants along a path.",,,,,,,,,
ex_016,no,,"Forget sit and lie down. This skillful pooch has mastered the art of paw-stand walking. Loren Mathieson filmed her pet Boston Terrier, Gizmo, performing the gravity-defying stunt one day at home after he tried on a set of new booties. Footage shows him taking a few steps forwards before planting down his front feet and launching his back legs vertically in the air. He then proceeds to walk forwards, performing some graceful sidesteps as he goes. Mathieson can be heard laughing while she watches Gizmo in action. When he reaches her on the floor, he eventually steps back down to four paws. Mathieson said Gizmo performed the trick because he was unsure how to walk in his new black boots. […]","Loren Mathieson filmed her Boston Terrier, Gizmo, walking on his front paws after trying on new booties, unsure how to walk in them. The video shows Gizmo taking steps forward, lifting his back legs vertically, and gracefully sidestepping. Mathieson’s laughter is heard as Gizmo eventually returns to all fours when he reaches her. The clip has been viewed over 80,000 times, bringing smiles to many viewers.","Loren Mathieson filmed her pet Boston Terrier, Gizmo, performing the gravity-defying stunt one day at home. Footage shows him taking a few steps forwards before planting down his front feet and launching his back legs vertically in the air. To date the video of his circus-like trick has been watched more than 80,000 times.",,,,,,,,,
ex_017,no,,"A convicted sex offender was reportedly run over by his girlfriend after she allegedly caught him abusing a 12-year-old girl. James Oliver, 48, was left with a serious leg injury after being allegedly hit by a car driven by Linda Currier, 53. Police report that they found Oliver in the driveway of a home in Noblesboro, Maine, on Saturday night, reports NBC News. James Oliver, 48, (left) was allegedly hit by a car driven by Linda Currier, 53 (right) who caught him allegedly trying to sexually assault a young girl . They said that the pair had argued inside the home after Currier caught him allegedly trying to sexually assault the young girl, authorities said. The dispute moved outside the […]","James Oliver, 48, was left with a serious leg injury after being allegedly hit by a car driven by Linda Currier, 53. Police report that they found Oliver in the driveway of a home in Noblesboro, Maine, on Saturday night. Currier was arrested for operating under the influence and aggravated assault - she was later released on bail pending a court appearance. Oliver was previously convicted of sexual abuse of a minor and rape, according to the Maine Sex Offender Registry.","James Oliver, a convicted sex offender, was allegedly run over by his girlfriend, Linda Currier, after she caught him attempting to sexually assault a 12-year-old girl in Noblesboro, Maine. The incident occurred on Saturday night, resulting in a serious leg injury for Oliver. Currier was arrested for operating under the influence and aggravated assault, while Oliver was later charged with attempted gross sexual assault, unlawful sexual touching, and failing to comply with the sex offender registration act. Oliver, previously convicted of sexual abuse of a minor and rape, was transferred to a state prison pending a court appearance.",,,,,,,,,
ex_018,no,,"Animal-lovers look away now! This is the moment a skateboarder bombs down a road at 40mph and collides with a deer head-on as it unexpectedly leaps out. Footage shows 27-year-old Jared Henry of Arkansas being knocked off his longboard to the ground while the doe spins on its stomach into a ditch. After coming to a standstill, Henry rolls over on the tarmac and opens his mouth in apparent pain. The pro-sportsman was shooting a video for the Fayettechill outdoor clothing brand before the freak accident took place. The deer apparently broke its pelvis and died while Henry recovered from the incident unscathed. Recalling the chain of events he later wrote on Facebook: 'Stoked to be alive is all I […]","A skateboarder, Jared Henry, collided with a deer while filming a video at 40mph in the Ozark Mountains. The deer died from a broken pelvis, while Henry escaped unharmed. Henry later expressed relief at surviving the incident and shared his experience on Facebook. The video has garnered over 300,000 views, with viewers noting Henry's fortunate escape.",Footage shows 27-year-old Jared Henry of Arkansas being knocked off his longboard to the ground while the doe spins on its stomach into a ditch. The deer apparently broke its pelvis and died while Henry recovered from the incident unscathed. The pro-sportsman was shooting a video for the Fayettechill outdoor clothing brand.,,,,,,,,,
ex_019,yes,numeric_heavy; multi_entity,"Another day, another baton change, another away defeat for Middlesbrough. Aitor Karanka would surely have made his defenders walk home from Watford were it not for the probability they’d spend most of the journey travelling in circles. This was that kind of game, a top-of-the-table occasion when Middlesbrough needed to deliver but ultimately failed on every scale – they did not create, they did not contain. They might have survived with deficiencies in one department, but not both. What a cruel time to deliver one of their worst performances of a brilliant season. What a cruel time for the Championship’s best defence to explode at the seams. Odion Ighalo's shot flies into the top corner of Dimi Konstantopoulos' net on […]","Middlesbrough suffered a 2-0 away defeat to Watford, with goals from Troy Deeney and Odion Ighalo, losing their Championship lead. Defensive errors and a lack of creativity contributed to Middlesbrough's poor performance, marking their fourth loss in five away games. Watford's strikers, Deeney and Ighalo, were praised for their effectiveness, with Deeney reaching 20 goals for the season and Ighalo scoring his 19th. Middlesbrough manager Aitor Karanka expressed pride in his team's overall season but acknowledged the need to improve, while Watford manager Slavisa Jokanovic highlighted the importance of the win for their promotion push.",Troy Deeney opened the scoring for Watford in the 37th minute. Odion Ighalo scored his 19th goal of the season in the second half. Middlesbrough have now lost four of their past five away games. Aitor Karanka's side remain top of the Championship.,,,,,,,,,
ex_020,no,,"Perhaps it was the excitement of the Grand National, but this horse fell at the first hurdle after wandering into thick mud. It was hardly Becher's Brook - one of Aintree's most notorious fences - but Cody somehow found himself stuck in the bog in Belvedere, south-east London. Crew members climbed into the watery ditch as they tried to ease the distressed animal to safety on Friday afternoon. Sticky situation: Animal rescue experts spent more than an hour rescuing Cody after he wandered into a bog . Cody was covered head to hoof in mud after being dragged to safety, but - despite being shaken by the ordeal - was otherwise unharmed. Borough Commander for Bexley Richard Welch said crews […]","Cody got stuck in the bog in Belvedere, south-east London. Fire crews worked for an hour and a half to free the distressed animal. The horse was covered head to hoof in mud after being dragged to safety. He has been taken back to the stables to be seen by a vet.","Cody, a horse, got stuck in a muddy bog in Belvedere, south-east London, on Friday afternoon. Animal rescue experts and fire crews worked for over an hour to free the distressed animal, who was covered in mud but unharmed. The rescue operation began shortly before 1:30 pm and ended at 2:55 pm. Cody was taken back to the stables to be examined by a vet. Borough Commander Richard Welch confirmed the horse's safety and joked about its unlikely participation in the Grand National.",,,,,,,,,
ex_021,no,,"A pair of foxes viciously fight to the death in a battle to claim a lone Vixen. The savage animals tumbled down a snowy Iceland mountainside and crashed onto the rocky beach below during the vicious struggle. Wildlife photographer Einar Gudmann caught the violent encounter on camera. He had been sleeping in his warm shelter when he was suddenly woken by howling. A pair of Arctic foxes viciously fight to the death on the snow in a battle to claim a lone Vixen . The amazing scene was captured on camera by wildlife photographer Einar Gudmann, who was woken up by howling . The two foxes fought each other in bitter sub-zero temperatures after one of them had been copulating […]","A pair of Arctic foxes engaged in a deadly fight over a vixen on a snowy Iceland mountainside, captured by wildlife photographer Einar Gudmann. The battle began when a third fox interrupted a mating pair, leading to a vicious struggle that tumbled down to a rocky beach. One fox gained a dominant bite, forcing the other into the sea, and the wet, wounded loser was not expected to survive the night. The victorious fox searched for the vixen, who had fled to the mountainside, while the defeated fox struggled to escape, likely facing its final night.","Wildlife photographer Einar Gudmann caught the violent encounter on camera. He had been sleeping in his warm shelter when he was suddenly woken by howling. After emerging into the bitter sub-zero temperatures, he spotted a female and male fox copulating. But the pair weren't alone - a third Arctic fox lurked nearby. Without warning the single fox emerged and began to growl and howl at the pair. Wiggling free, the female ran for the hills while the two male foxes began to fight.",,,,,,,,,
ex_022,no,,"(CNN)Their relationship led to jail time for her, but Mary Kay Letourneau Fualaau wants the world to know that she and her husband, Vili Fualaau, are still happily together. She was a married 34-year-old teacher and mother of four in Seattle in 1996 when she began an affair with Fualaau, her 13-year-old student. Letourneau gave birth to her young lover's child and went on to serve more than seven years in prison on charges related to their sexual relationship. On Friday, ABC's ""20/20"" will air an exclusive interview with the couple, who will celebrate their 10th wedding anniversary on May 20. The pair wed soon after she was released from prison in 2005 and are now the parents of two […]","Mary Kay Letourneau Fualaau, a former teacher who served over seven years in prison for having a sexual relationship with her 13-year-old student, Vili Fualaau, is now 53 and still married to him. They will celebrate their 10th wedding anniversary on May 20 and have two teenage daughters together. In an upcoming ABC ""20/20"" interview, the couple discusses their marriage, Letourneau's plans to teach again and have her sex offender status lifted, and Fualaau's struggles with alcoholism and depression. Letourneau was 34 when the relationship began, and Fualaau is now 31.","Mary Kay Letourneau Fualaau was a 34-year-old teacher and mother of four in 1996. She began an affair with her 13- year-old student, Vili Fuala Pau. She gave birth to her lover's child and went on to serve more than seven years in prison.",,,,,,,,,
ex_023,yes,numeric_heavy; multi_entity,"(CNN)Can a prayer for diamonds actually turn up a gem? When you're exploring the fields at Crater of Diamonds State Park in Murfreesboro, Arkansas, the odds are higher than usual. ""Are you going to bless me and let me find a diamond today?"" That was Susie Clark's prayer on April 23, according to the state park service. Soon after, Clark, who is from Evening Shade, Arkansas, saw a 3.69-carat white, teardrop-shaped diamond in the plowed field. Inspired by her prayer, Clark named it the Hallelujah Diamond. She plans to keep it. The diamond, which is the largest found at the park so far this year, is about the size of a pinto bean, says park interpreter Waymon Cox. ""And it's […]","Susie Clark found a 3.69-carat white, teardrop-shaped diamond at Crater of Diamonds State Park. It's the 122nd diamond found at the park so far this year. Visitors get to keep what they find at the state park's 37.5-acre search field.","Susie Clark found a 3.69-carat white diamond, the largest this year, at Crater of Diamonds State Park in Arkansas after praying for a gem. She named it the Hallelujah Diamond and plans to keep it. The park, the only public diamond-digging site globally, allows visitors to retain their finds. Over 75,000 diamonds have been discovered since 1906, with the largest being the 40.23-carat Uncle Sam found in 1924. Park staff regularly plow the field to bring more diamonds to the surface for visitors.",,,,,,,,,
ex_024,no,,"A youngster admiring his catch was left surprised when the fish jumped up and slapped him in the face. Quinn Patrick was on a fishing trip with his dad at Snow Lake, Indiana when the pair caught a bowfin, videoed lying lifeless on a concrete dock. Crouching over the fish, Quinn deliberates whether someone should put it back in the water. When suddenly the Bowfin propels itself from the ground and slaps the youngster straight in the face with its large tail. The sound of the fish making impact with the youngster’s face is not dissimilar to a sound effect used in a cartoon. Recoiling, Quinn stumbles backwards in shock as his dad begins laughing – prompting the youngster to […]","Quinn Patrick was on a fishing trip with his dad at Snow Lake, Indiana. The pair caught a bowfin, videoed lying lifeless on a concrete dock. Quinn deliberates whether someone should put it back in the water. When suddenly the Bowfin propels itself from the ground and slaps the youngster straight in the face with its large tail.","Quinn Patrick, on a fishing trip with his dad at Snow Lake, Indiana, was surprised when a seemingly lifeless bowfin fish suddenly propelled itself from the ground and slapped him in the face with its tail. The incident, captured on video, included a cartoon-like sound effect upon impact, causing Quinn to recoil in shock while his dad laughed, eventually prompting Quinn to laugh along. After noticing blood on the fish, Quinn expressed concern, but his dad reassured him that the fish was hurt before they caught it. The video concluded with the father discussing the size of the bowfin’s teeth, and the article provided additional information about bowfin, a demersal freshwater fish native to North America.",,,,,,,,,
